label,left_knee,left_hip,right_hip,right_knee
bas,113.9827725738398,113.17155748541234,172.35052344590568,178.9364532011412
bas,116.02863783576142,116.21075676894613,176.1085189772882,179.026787445591
bas,119.00357760230189,118.98843124627082,178.78218702553482,177.28036815998612
bas,122.0191655894853,121.47242469487786,177.7784769149006,177.7785128382659
bas,126.80222588481458,125.29947900940267,177.8347075834545,174.99945937936647
bas,124.78650523291641,122.59108868300191,175.0836444979063,173.6441737010892
bas,125.46994725530689,124.51166672309286,175.6177762910857,173.7399572825032
bas,128.90035199633573,129.00609575400782,178.66502134676492,178.6725262565142
milieu,128.766189893889,128.70570418975313,178.85554472750948,177.49229709285558
milieu,132.36917913027347,132.50453225720105,177.84190957300007,178.25036977117574
milieu,134.65861635231286,134.2506590302666,178.64569744150663,176.83535973343515
milieu,136.45158859630283,134.64687793905847,177.00547510955886,176.6496260248818
milieu,138.19326509183608,137.4521964829915,174.6829970896814,173.16829465931943
milieu,140.05188261286165,139.5807335695646,176.03637343734104,174.1039155162617
milieu,142.300842492247,141.3227796980303,176.71556506909494,174.7235271259831
milieu,144.79698090843817,144.57964339622268,177.05537831680545,173.38841484412754
milieu,147.52116322825378,146.79339886644632,177.37798256539403,173.4721800652687
milieu,149.0044540049778,149.67545482070003,176.90942648985597,171.4298348039337
milieu,152.82148624007564,151.2141208119709,177.34490603754674,173.03450396776725
milieu,154.41478836609673,152.89735141808754,177.96553902630637,172.58559054910134
milieu,157.65966355200834,155.46831327602436,179.32306512572757,174.91774690914835
haut,161.2446143145228,158.59268831263526,178.88838907175318,174.65225130084468
haut,159.537487686818,159.44602948495663,177.86512214304383,176.5425237306683
haut,162.1407817491998,160.60317154987646,177.52922702165017,176.52286428460323
haut,164.87111718591012,163.5209403307901,175.2127435346157,178.29403856759535
haut,167.6264953076826,165.79405665557655,174.12379265019808,179.004680322667
haut,168.4998817563495,166.94044540801497,174.5389388106158,177.45587359311196
haut,170.83631106178785,168.39963737583503,173.4876566211385,178.17346899802666
haut,171.68454485417527,168.8772813733987,173.75449227534975,177.75880882263445
haut,174.1030599313126,170.42707312606933,173.0199271111529,178.7167891255539
haut,174.83612480062126,171.3398768036582,171.47632780537373,179.60509302834424
haut,175.82399719410165,171.8081331146973,171.73982923137055,178.68592139857668
haut,177.26701942432533,173.06184707778448,170.73682050397233,179.32711401704486
haut,178.00106178431307,173.56037601743841,170.85657909728107,178.80103528955428
haut,179.63197500546994,174.74524255022425,170.20862567976235,179.26213616235816
haut,179.33634057391728,178.85977961716816,168.88793271758533,177.17527278204724
haut,179.1749682942575,178.43273467268074,169.3792948908769,177.90791886731623
haut,179.45675340313193,178.63753451151402,169.04625641483022,177.3702429077126
haut,179.19678485517974,178.14839171051378,169.69256787229148,178.39441712550672
haut,179.23745762607098,177.695697828829,171.27582170349854,179.19455305230431
haut,179.08893025711063,176.41106110462576,171.54755392690902,178.7154031469488
haut,179.473017479725,177.50795804060036,170.7306433033532,178.39353404937296
haut,179.59653770101843,177.6938873384255,170.68553468721947,178.1566146434145
haut,179.4007902972112,176.9433377032569,170.9825348346568,178.03584310869445
haut,179.59426269020025,175.28456393084963,172.5365292929521,178.31211702608496
haut,178.7696661780468,176.48680419392696,172.29416484595478,178.2307598019204
haut,176.86364612217108,172.43675134049047,173.81107089930762,179.18072232509803
haut,176.55560993941702,171.59526366646347,174.20350448328705,179.57202663361727
haut,176.50230195430933,171.2388440377195,174.778024365609,179.62303611402052
